p,g,время_генерации_ключа_мкс,размер_ключа,общий_ключ,общее_время_мс
2617,2612,98,11,1681,100
2269,2267,96,11,1456,98
2083,2079,101,11,1150,104
2593,2586,58,12,2152,60
2887,2885,62,10,698,64
3259,3254,64,12,2299,66
2753,2750,80,10,713,82
3541,3534,67,11,1781,69
2503,2501,80,11,1680,82
3547,3543,104,12,2999,105
3943,3934,69,11,1723,71
2381,2378,83,11,1324,84
3499,3495,113,9,505,115
3527,3525,122,11,1635,124
3697,3692,81,11,1142,83
2909,2907,65,11,1155,67
3697,3692,71,12,2158,73
4091,4088,64,11,1410,67
2179,2174,62,9,306,64
3541,3534,70,12,2889,73
2243,2240,67,11,1126,70
2213,2211,65,11,1774,67
2687,2684,64,11,2047,64
2963,2960,63,12,2442,65
2371,2367,63,10,962,65
3547,3543,136,11,1164,139
2371,2367,115,10,689,117
3907,3903,64,12,2939,66
2089,2082,60,9,337,62
2957,2955,66,6,60,68
2719,2717,65,11,1355,67
2591,2589,66,8,254,68
2273,2270,55,8,173,57
3209,3206,63,12,2897,65
2351,2348,68,11,1348,70
2203,2196,64,9,482,66
3571,3567,65,11,1761,67
2777,2774,67,11,1229,69
2801,2798,62,12,2196,63
2111,2109,59,10,909,61
2137,2127,59,11,1181,60
3221,3211,67,8,197,68
3697,3692,68,12,2392,70
3847,3845,65,12,2060,67
2269,2267,64,11,1112,66
2791,2784,74,12,2439,75
3499,3495,104,11,1085,106
2909,2907,68,12,2319,70
2657,2654,66,9,498,68
2203,2196,68,10,926,70
3803,3800,66,12,2539,67
3463,3454,62,8,212,64
2609,2606,61,6,32,63
3169,3162,67,10,891,69
2659,2655,63,8,153,65
3931,3927,68,9,464,69
4021,4019,68,12,3074,69
3491,3488,55,9,271,57
2089,2082,62,11,1796,65
3343,3332,78,10,792,80
2659,2655,65,8,138,67
2357,2355,61,10,802,63
3457,3450,63,10,625,65
2713,2708,69,12,2063,71
3001,2987,66,11,1687,68
3533,3531,66,11,1667,68
2423,2421,59,10,880,61
2411,2408,95,9,317,96
3499,3495,108,12,3326,111
2843,2839,93,9,411,95
3407,3405,102,12,2519,104
3167,3165,60,11,1636,61
3229,3223,82,8,149,84
3347,3344,66,9,266,68
3469,3467,70,12,3053,72
3803,3800,78,12,2627,79
2393,2390,68,10,971,70
2239,2237,84,10,585,85
2339,2336,72,10,523,73
4073,4070,139,8,242,141
3671,3669,60,10,664,63
4007,4005,71,9,389,72
2281,2274,85,10,903,87
3457,3450,66,11,1239,68
2801,2798,90,12,2485,92
2267,2264,60,11,1680,62
3313,3303,60,12,2113,63
2203,2196,59,12,2075,61
2281,2274,64,11,1805,65
2671,2666,67,10,898,68
2551,2549,61,6,58,62
3359,3357,79,12,2445,82
3943,3934,77,11,1138,79
2437,2435,55,10,1021,58
3203,3200,72,12,2973,74
3709,3707,64,12,2788,66
2707,2703,64,11,1044,66
2377,2372,89,7,97,91
3779,3776,67,6,60,70
3761,3758,60,12,3592,62
3469,3467,66,1,1,68
3623,3621,69,12,2675,70
3919,3917,83,10,925,84
2083,2079,67,10,559,68
2351,2348,142,8,159,145
3257,3254,65,6,47,66
2909,2907,64,11,1484,66
2389,2387,82,12,2068,84
3467,3464,63,11,1856,65
2341,2334,61,11,1128,63
3797,3795,67,12,3463,69
3863,3861,69,10,801,71
4057,4052,68,10,551,70
3119,3117,63,12,2288,66
2309,2307,62,11,1983,64
2099,2096,61,11,1620,62
3851,3847,65,11,1829,67
2131,2127,57,11,1259,60
2237,2235,65,11,1094,67
2153,2150,62,11,1461,65
2917,2912,66,11,1778,68
2713,2708,68,12,2365,70
2677,2675,65,10,682,67
3467,3464,64,11,1160,66
2621,2619,60,11,1228,62
2543,2541,60,11,1929,62
2999,2997,55,10,699,56
