A,B,P,private_key_a,private_key_b,x_a,y_a,hashpoint_a,x_b,y_b,hashpoint_b,x_secret,y_secret,secret_in_hash,order, time(ms)
1,3,2003,11400714819323302216,11400714819323231517,1302,1711,11400714819323284639,1465,895,11400714819323292411,1897,701,11400714819323321733,2082,8
1,5,2003,11400714819323302640,11400714819323231313,955,1180,11400714819323261924,628,466,11400714819323238896,296,628,11400714819323218427,2070,7
1,8,2003,11400714819323303411,11400714819323232211,473,916,11400714819323230086,1517,1989,11400714819323299192,473,916,11400714819323230086,2064,7
1,10,2003,11400714819323299943,11400714819323231722,886,1140,11400714819323256208,349,1123,11400714819323222354,1895,1706,11400714819323320639,2036,6
1,11,2003,11400714819323301014,11400714819323230953,1067,1096,11400714819323267084,1374,518,11400714819323286444,1089,1852,11400714819323269344,2018,8
1,12,2003,11400714819323298294,11400714819323231204,1800,1949,11400714819323314300,234,824,11400714819323214573,1559,705,11400714819323297804,2004,7
1,13,2003,11400714819323299943,11400714819323231722,495,1149,11400714819323231522,1210,1093,11400714819323278514,1666,320,11400714819323304439,2036,7
1,20,2003,11400714819323302153,11400714819323231517,556,591,11400714819323235267,42,894,11400714819323202103,460,1431,11400714819323229395,2083,7
1,21,2003,11400714819323302577,11400714819323231313,1551,892,11400714819323298523,862,1459,11400714819323255105,1613,1398,11400714819323301907,2071,6
1,23,2003,11400714819323303929,11400714819323232086,583,1138,11400714819323236511,110,414,11400714819323205920,1520,1651,11400714819323299316,2054,8
1,28,2003,11400714819323301967,11400714819323231391,764,1368,11400714819323249616,647,84,11400714819323239501,1575,940,11400714819323301165,2077,7
1,33,2003,11400714819323301205,11400714819323230888,535,887,11400714819323234246,96,172,11400714819323204793,138,1709,11400714819323209198,2022,6
1,40,2003,11400714819323301429,11400714819323231141,747,898,11400714819323247098,1698,1178,11400714819323309173,559,548,11400714819323234475,2006,7
1,42,2003,11400714819323299878,11400714819323231659,1000,1528,11400714819323264751,1136,373,11400714819323272918,1188,391,11400714819323274081,2038,7
1,45,2003,11400714819323301275,11400714819323230888,398,192,11400714819323224374,607,854,11400714819323237789,398,192,11400714819323224374,2024,9
1,47,2003,11400714819323302448,11400714819323231248,506,1976,11400714819323233073,923,316,11400714819323258732,1314,530,11400714819323282125,2068,6
1,48,2003,11400714819323300440,11400714819323230824,275,1996,11400714819323218422,435,1665,11400714819323227761,1650,532,11400714819323304503,2028,7
1,51,2003,11400714819323302640,11400714819323231313,1223,210,11400714819323276063,786,1028,11400714819323250255,1544,798,11400714819323299005,2070,8
1,54,2003,11400714819323303782,11400714819323232023,1216,245,11400714819323276026,1140,1841,11400714819323274519,1183,629,11400714819323274222,2052,7
1,57,2003,11400714819323300440,11400714819323230824,1429,1763,11400714819323292680,732,1000,11400714819323245928,1146,1649,11400714819323274846,2028,7
1,60,2003,11400714819323299943,11400714819323231722,229,188,11400714819323213487,1345,99,11400714819323284297,797,1818,11400714819323250731,2037,6
1,62,2003,11400714819323298294,11400714819323231204,72,94,11400714819323203277,750,723,11400714819323247053,1114,265,11400714819323269358,2004,8
1,65,2003,11400714819323302090,11400714819323231454,1261,468,11400714819323281033,1619,1917,11400714819323305909,1261,468,11400714819323281033,2080,10
1,67,2003,11400714819323303411,11400714819323232211,1555,1973,11400714819323300893,1417,1679,11400714819323290575,1555,1973,11400714819323300893,2064,9
1,70,2003,11400714819323301014,11400714819323230953,789,940,11400714819323250387,1909,93,11400714819323321594,228,558,11400714819323213720,2019,8
1,71,2003,11400714819323303533,11400714819323231956,1385,245,11400714819323289037,1041,1871,11400714819323268281,1913,338,11400714819323321084,2046,8
1,73,2003,11400714819323300003,11400714819323231659,1358,115,11400714819323286549,1284,285,11400714819323279991,610,1710,11400714819323238841,2040,9
1,75,2003,11400714819323301777,11400714819323231083,683,199,11400714819323243245,564,522,11400714819323234712,1961,427,11400714819323326019,2013,7
1,77,2003,11400714819323303346,11400714819323231248,1770,1785,11400714819323312546,497,372,11400714819323231156,138,679,11400714819323208148,2066,8
1,82,2003,11400714819323301516,11400714819323231141,1603,1472,11400714819323302502,1600,586,11400714819323300271,1739,1505,11400714819323310243,2009,7
1,83,2003,11400714819323302448,11400714819323231248,748,881,11400714819323247021,1886,1285,11400714819323321647,611,1100,11400714819323239386,2068,7
1,85,2003,11400714819323301275,11400714819323230888,1601,372,11400714819323300120,624,1474,11400714819323239427,1601,372,11400714819323300120,2024,6
1,86,2003,11400714819323302970,11400714819323232146,82,987,11400714819323204822,1986,1463,11400714819323327486,1235,952,11400714819323277586,2058,7
1,89,2003,11400714819323302770,11400714819323231313,1781,1390,11400714819323315829,397,610,11400714819323224983,1303,523,11400714819323281458,2072,7
1,91,2003,11400714819323302707,11400714819323231313,531,1629,11400714819323233701,1372,524,11400714819323286308,1912,87,11400714819323321138,2073,6
1,92,2003,11400714819323302216,11400714819323231517,946,789,11400714819323260708,1225,1700,11400714819323278050,1924,1418,11400714819323323140,2082,8
1,97,2003,11400714819323301429,11400714819323231141,1929,360,11400714819323323926,609,1568,11400714819323238764,444,738,11400714819323228122,2006,8
2,1,2003,11400714819323302640,11400714819323231313,1568,199,11400714819323297860,837,1962,11400714819323254421,300,1254,11400714819323219306,2070,9
2,2,2003,11400714819323300440,11400714819323230824,1073,272,11400714819323268672,46,1857,11400714819323203279,461,1544,11400714819323229213,2028,10
2,4,2003,11400714819323302707,11400714819323231313,947,3,11400714819323259511,146,1350,11400714819323209069,1706,1692,11400714819323308145,2073,8
2,9,2003,11400714819323301205,11400714819323230888,1039,1186,11400714819323265397,197,792,11400714819323211867,1015,541,11400714819323264792,2023,6
2,11,2003,11400714819323300192,11400714819323231893,138,1650,11400714819323209123,482,328,11400714819323230135,965,1861,11400714819323262542,2042,6
