a,b,p,time_gen_micros,time_prod_micros,shared_prod_x,shared_prod_y,size_of_key,order, time(ms)
494,2340,2617,1819,142,146,1485,80,2659,238
801,1691,2269,920,151,402,320,80,2251,167
751,1025,2083,1498,201,822,1882,80,2113,170
646,2138,2593,1249,261,2174,1561,80,2647,329
2430,2668,2887,1113,110,1346,2115,80,2879,299
2254,1586,3259,1076,138,1456,607,80,3319,360
875,2381,2753,951,160,1467,339,80,2753,255
3241,2710,3541,1164,75,1646,1218,80,3559,464
2358,2355,2503,965,120,1695,1766,80,2423,234
409,3267,3547,915,140,2710,2121,80,3449,383
3635,214,3943,1081,151,589,2669,80,3833,482
1590,52,2381,798,157,2305,859,80,2311,185
2749,708,3499,980,143,1866,3171,80,3529,390
2590,2024,3527,936,168,1984,3217,80,3511,393
71,431,3697,963,151,909,3016,80,3779,438
1629,2875,2909,1054,135,2576,2038,80,2999,301
3211,283,3697,901,151,409,1745,80,3659,427
2064,1071,4091,1043,180,4005,2939,80,4139,543
1678,1539,2179,833,104,2034,1441,80,2179,169
901,650,3541,802,157,2222,1653,80,3643,396
755,490,2243,933,142,174,1632,80,2237,167
455,920,2213,796,133,1569,1586,80,2131,158
2277,1686,2687,833,97,594,822,80,2719,237
382,2485,2963,881,100,1876,2355,80,3023,292
1292,1249,2371,891,134,1045,1063,80,2383,186
622,1977,3547,667,132,1516,2840,80,3461,388
1800,24,2371,777,128,1775,667,80,2417,189
3641,2819,3907,997,145,2568,3464,80,3889,480
1641,1190,2089,815,130,1891,1923,80,2111,149
2381,550,2957,973,160,2577,363,80,3011,281
1002,621,2719,781,120,1715,1944,80,2711,241
587,1664,2591,979,157,1552,1140,80,2671,227
1437,1012,2273,907,138,2259,663,80,2239,171
148,1800,3209,908,132,1044,846,80,3209,319
809,667,2351,962,90,48,978,80,2357,192
1709,2030,2203,864,114,1599,20,80,2207,167
1771,1599,3571,1029,61,2683,231,80,3529,401
652,741,2777,803,163,2425,2431,80,2833,251
980,458,2801,1078,124,2129,2410,80,2837,262
1761,1313,2111,875,140,98,890,80,2113,153
128,2048,2137,883,132,892,1452,80,2141,156
3110,217,3221,973,148,928,2412,80,3301,339
2021,3314,3697,1292,176,947,382,80,3769,441
2984,3477,3847,971,113,1762,2392,80,3863,479
1353,520,2269,986,127,2155,498,80,2273,181
1452,2604,2791,1037,150,1203,1174,80,2707,252
3399,181,3499,935,123,20,2833,80,3539,398
727,1661,2909,946,155,1883,494,80,2861,270
2410,2177,2657,750,126,1653,2491,80,2621,232
979,127,2203,891,96,1533,345,80,2243,168
2899,2405,3803,1003,123,2251,3427,80,3779,453
486,820,3463,933,140,2230,357,80,3373,378
151,124,2609,893,143,443,596,80,2633,223
664,1605,3169,974,155,142,2219,80,3187,326
1252,605,2659,987,83,236,2238,80,2689,236
195,873,3931,947,301,3643,3106,80,3929,482
1056,1924,4021,1116,124,804,1832,80,3967,497
129,1769,3491,1810,301,1634,948,80,3407,386
