a,b,p,время_генерации_общего_ключа_последовательным_умножением_мкс,время_генерации_общего_ключа_кольцевым_методом_мкс,x_координата_общего_ключа,y_координата_общего_ключа,размер_ключа,порядок_генератора,общее_время_мс
494,2340,2617,1532,62,1295,2081,23,2659,262
801,1691,2269,1073,177,1896,626,21,2251,237
751,1025,2083,3343,181,299,1801,20,2113,203
646,2138,2593,1265,116,1556,1793,22,2647,309
2430,2668,2887,1099,110,2286,2612,24,2879,326
2254,1586,3259,1078,176,870,731,20,3319,388
875,2381,2753,1031,153,975,768,20,2753,321
3241,2710,3541,1333,80,3327,1677,23,3559,479
2358,2355,2503,1021,161,341,1675,20,2423,227
409,3267,3547,1143,248,957,718,20,3449,408
3635,214,3943,1046,150,3659,740,22,3833,606
1590,52,2381,1007,145,2142,1414,23,2311,212
2749,708,3499,1512,220,1354,1555,22,3529,448
2590,2024,3527,1037,211,953,2080,22,3511,476
71,431,3697,1486,277,521,1758,21,3779,518
1629,2875,2909,1165,144,2138,2418,24,2999,338
3211,283,3697,1051,126,2492,1607,23,3659,537
2064,1071,4091,1103,148,1004,515,20,4139,1178
1678,1539,2179,888,94,1817,1939,22,2179,233
901,650,3541,1495,30,296,634,19,3643,472
755,490,2243,1064,106,781,939,20,2237,243
455,920,2213,944,91,700,854,20,2131,197
2277,1686,2687,1013,166,2513,1962,23,2719,280
382,2485,2963,909,150,2944,813,22,3023,327
1292,1249,2371,1074,130,1481,247,19,2383,235
622,1977,3547,1779,180,2610,529,22,3461,426
1800,24,2371,1468,176,1188,2170,23,2417,274
3641,2819,3907,1807,177,1334,1245,22,3889,599
1641,1190,2089,940,107,117,178,15,2111,175
2381,550,2957,930,128,2305,1203,23,3011,333
1002,621,2719,1105,129,2635,229,20,2711,278
587,1664,2591,1112,126,1238,733,21,2671,250
1437,1012,2273,1060,263,1284,108,18,2239,395
148,1800,3209,953,150,2314,460,21,3209,359
809,667,2351,1905,235,1755,236,19,2357,232
1709,2030,2203,1046,127,2082,483,21,2207,206
1771,1599,3571,1055,151,3385,3283,24,3529,434
652,741,2777,1054,167,1229,2450,23,2833,290
980,458,2801,996,180,1584,701,21,2837,321
1761,1313,2111,974,118,1732,61,17,2113,195
128,2048,2137,928,122,2050,658,22,2141,162
3110,217,3221,988,144,2368,147,20,3301,369
2021,3314,3697,1472,210,1646,3321,23,3769,505
2984,3477,3847,995,161,3132,1953,23,3863,549
1353,520,2269,1194,165,317,422,18,2273,202
1452,2604,2791,1698,274,2256,1174,23,2707,297
3399,181,3499,1080,137,2601,1730,23,3539,524
727,1661,2909,866,166,2648,2588,24,2861,362
2410,2177,2657,1138,207,93,629,17,2621,295
979,127,2203,1086,192,516,1380,21,2243,241
2899,2405,3803,1568,399,3790,2524,24,3779,589
486,820,3463,1889,299,1240,3173,23,3373,498
151,124,2609,1005,147,1135,2313,23,2633,343
664,1605,3169,1194,157,2078,1398,23,3187,387
1252,605,2659,884,147,2176,1800,23,2689,317
195,873,3931,2135,177,3790,3549,24,3929,575
1056,1924,4021,1152,112,2730,1621,23,3967,570
129,1769,3491,918,135,1290,3471,23,3407,439
1450,1730,2089,1197,215,938,1078,21,2017,162
798,3063,3343,1017,138,3316,1032,23,3407,393
1297,795,2659,922,140,1818,1845,22,2687,286
197,572,2357,939,138,990,47,16,2381,232
790,2552,3457,1504,162,634,3055,22,3347,425
2160,68,2713,999,146,1232,1651,22,2683,297
1137,2236,3001,1625,145,920,762,20,3079,347
2342,105,3533,2505,390,3008,2202,24,3607,486
1001,960,2423,916,123,1394,1984,22,2351,211
389,562,2411,939,105,2255,2023,23,2441,219
3476,3370,3499,1901,139,1403,14,15,3547,424
325,1428,2843,990,129,1547,1481,22,2741,315
2660,682,3407,1313,165,3051,3118,24,3407,426
933,1829,3167,977,154,719,3049,22,3119,388
757,2809,3229,1659,199,701,1181,21,3257,424
2466,719,3347,1192,225,2603,3080,24,3361,419
1569,1302,3469,1620,312,2067,2831,24,3571,476
613,2400,3803,1223,161,676,315,19,3761,479
420,1700,2393,1122,163,1846,60,17,2473,231
1998,65,2239,1125,154,570,478,19,2251,178
1217,196,2339,863,127,1793,1470,22,2423,201
1503,663,4073,1008,131,1240,3287,23,4057,536
962,73,3671,1240,158,1445,507,20,3767,515
2442,2032,4007,1011,108,773,2345,22,3923,521
1000,1699,2281,935,122,1631,219,19,2347,186
2391,35,3457,1756,247,1203,2897,23,3511,434
976,76,2801,2047,315,1398,2029,22,2791,291
1947,1560,2267,1582,292,1798,12,15,2221,218
2857,2652,3313,1472,229,2351,3063,24,3221,399
1568,2017,2203,822,172,900,445,19,2161,224
1614,1514,2281,1200,155,1641,1831,22,2309,188
1204,1718,2671,882,139,1463,986,21,2677,258
1361,1958,2551,1144,150,1460,1620,22,2579,230
2233,32,3359,1175,187,2004,3243,23,3373,371
3661,1627,3943,872,134,1091,2878,23,4013,546
1965,2115,2437,872,84,182,2017,19,2417,228
2062,562,3203,753,160,522,2504,22,3163,332
3228,874,3709,1070,162,2158,2418,24,3793,505
1361,734,2707,896,133,2169,1072,23,2659,253
2356,649,2377,1334,151,648,750,20,2459,212
1118,1885,3779,1035,155,2126,2386,24,3821,515
1964,2571,3761,1227,174,1012,22,15,3709,460
326,1121,3469,2489,130,383,3084,21,3373,452
732,3538,3623,1549,69,2259,27,17,3631,477
1148,1693,3919,952,205,170,794,18,4007,603
1134,1138,2083,764,116,39,1038,17,2053,156
238,1632,2351,984,101,906,1167,21,2339,216
1813,2871,3257,933,142,2345,1277,23,3271,362
