A,B,P,time_gen,shared_x,shared_y,order, time(ms)
274,2474,3907,0,2710,2319,4021,619
26,1166,2383,0,22,1974,2411,239
2416,737,4051,0,3880,445,4001,582
1304,144,2179,0,877,2091,2161,216
2224,1272,2797,0,2581,1818,2777,297
1969,2365,3253,0,1035,2632,3329,408
1795,1931,2357,0,502,158,2269,227
2432,364,2801,0,1369,2292,2777,305
2746,990,3967,1,326,3891,3877,562
3117,580,4091,0,1530,2998,4019,610
2464,1698,3491,0,1020,3354,3433,442
453,2420,2473,0,627,1018,2543,237
853,2692,2953,0,2066,521,3037,349
1081,1528,2531,3,847,2424,2557,259
965,763,2333,0,973,1597,2251,214
1924,2295,3389,0,1832,3225,3313,412
2801,1427,3001,0,660,2171,3067,337
185,927,2789,0,2682,1949,2731,295
1477,2526,2551,0,2481,797,2647,259
1725,853,2237,0,647,196,2161,181
296,228,3793,0,68,865,3803,507
298,1610,2273,2,1192,910,2333,205
1938,1171,2659,0,1348,471,2689,271
2651,2143,2837,0,2715,2028,2897,299
2222,1616,2437,0,174,1243,2459,234
228,2966,3643,0,1966,1781,3673,491
3405,3703,3709,1,3393,1599,3643,514
3063,893,3499,0,1530,3345,3559,463
1387,347,3433,0,2540,3206,3331,417
1009,2945,3719,0,231,2892,3821,517
374,2075,2213,0,413,1573,2243,206
3385,309,3677,0,44,2930,3779,671
1252,484,2423,0,654,1553,2423,348
1137,1854,2179,0,745,1144,2203,227
2651,2079,3413,0,40,1454,3319,607
2069,1330,2207,0,1522,2137,2267,243
2873,1402,3001,0,167,2097,2953,332
3745,2133,4079,1,3465,1264,4129,680
2473,1117,3847,0,2985,149,3853,575
2007,629,2689,0,1993,1585,2663,258
1084,549,3581,0,2242,2742,3607,524
1276,1830,2539,0,1877,1485,2521,264
1871,513,2273,0,1187,931,2333,247
1856,2516,2971,0,1293,602,2927,428
1137,1614,3767,0,1705,818,3701,534
1816,104,2239,1,1413,234,2239,196
2839,2411,3433,0,1459,157,3467,453
997,335,2143,0,2008,1070,2063,152
31,724,3547,0,1527,1088,3469,451
3836,3137,3847,0,764,3646,3907,549
1834,1053,2357,0,2271,822,2281,206
1695,405,4057,1,3627,2390,4111,568
1198,866,3467,0,1876,651,3529,438
1580,1333,2879,0,445,2710,2843,294
1250,1796,3803,0,3174,2027,3733,487
1910,2121,2687,0,2172,2283,2657,261
2431,1541,2777,0,2096,2181,2833,306
901,894,2113,0,234,10,2161,176
85,386,4049,0,793,2585,4091,573
2702,771,3221,0,2021,2087,3217,375
2356,715,2857,0,994,1090,2903,273
2073,525,3089,0,2150,983,3169,326
1010,1574,3547,1,3097,3383,3511,401
3104,1189,3637,0,100,1150,3529,409
1066,1222,3271,0,3025,181,3329,355
710,658,2309,0,1519,1211,2221,198
1239,2221,2647,0,842,2250,2699,249
568,1639,2087,0,698,918,2017,167
924,3097,3251,0,1135,914,3217,372
1859,3918,4007,0,757,3862,4099,531
1031,1501,2447,0,1501,2373,2371,197
1319,1351,3877,0,273,732,3931,502
2022,991,3779,0,1556,3274,3677,455
1501,1491,2129,1,1467,1127,2179,242
1941,701,2129,0,1707,119,2089,212
1530,1052,2767,0,2441,2363,2819,344
2329,764,2753,0,251,2376,2767,275
78,2252,2437,0,271,2214,2447,211
1634,44,2179,0,305,312,2153,196
390,2263,3917,0,2718,2949,3851,543
2612,1071,2731,0,375,2143,2671,236
845,1376,2269,1,790,1740,2309,190
1477,294,2749,0,1968,2464,2689,262
162,1825,3001,0,670,1942,2939,329
839,2062,2999,0,261,2179,3049,292
1776,1437,3313,0,714,668,3371,361
2705,383,3467,0,2612,2946,3449,387
2844,865,3863,0,632,3642,3793,468
1652,1932,2749,0,841,1105,2683,248
778,1007,2689,0,1409,1558,2689,256
923,672,3943,0,1669,12,3907,526
3548,1816,3559,0,2393,107,3533,476
1318,1425,2351,0,1727,4,2341,184
1079,1291,3323,0,811,446,3359,372
963,773,2179,0,283,987,2239,161
3006,378,3499,0,1935,348,3529,417
478,2798,3023,0,1713,1679,2953,294
547,2307,3779,0,1987,2329,3767,448
296,1390,2143,0,1586,66,2083,160
935,1375,2137,0,857,1103,2081,155
